1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
307	2-狄青比武	廣州五桂堂	俗文學叢刊456冊	全	選	南音-木魚書	13	俗文學標為南音，網站標註為龍舟歌。復旦有
308	狄青斬王天化	廣州以文堂?寶林堂	俗文學叢刊415冊	/	/	龍舟歌	/	上圖有五桂堂、北師大有醉經堂本
309	辛亥廣東米貴兼閏月	廣州醉經堂	廣州圖書館	全	/	龍舟歌	3	有破損，俗：廣州醉經堂板
310	1-新刻沉香太子全本（沉香太子）四卷	五桂堂據舊板改板印行五桂堂	中山大學圖書館	全	選	南音-木魚書	64	按：倆底本同，1全，2缺卷三，建議用1。復旦有丹柱堂本
311	2-新刻沉香太子全本（沉香太子）四卷（缺卷三）	五桂堂據舊板改板印行	中山大學中國非物質文化遺產研究中心	殘	/	南音-木魚書	47	按：倆底本同，1全，2缺卷三，建議用1。復旦有丹柱堂本
312	1-沉香寶扇二卷	刻本	德國巴伐利亞州立圖書館	全	選	南音	22	1底本較好。
313	2-新選清唱沉香寶扇南音二卷	廣州五桂堂據丹柱堂	法國陳慶浩	未檢查	/	南音	15	1底本較好。
314	妓女嘆五更	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
315	新本妙容打齋附薦（妙容附薦）二卷	省港五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌？	7	/
316	1-青蘭附薦（青蘭付薦南音）（存卷上）	清刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	主體內容同，個別用字不同，版式不同。上圖有以文堂、復旦有坊刻本。
317	2-青蘭附薦	香山石歧黃鑑記刻本	廣州圖書館	全	選	龍舟歌	3	主體內容同，個別用字不同，版式不同。上圖有以文堂、復旦有坊刻本。
318	3-重訂青蘭附薦（青蘭附薦）	廣州醉經堂機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	主體內容同，個別用字不同，版式不同。上圖有以文堂、復旦有坊刻本。
319	拆外母屋	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
320	拆蔗寮	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
321	1-新刻清唱拗碎靈芝記（拗碎靈芝）四卷	五桂堂道光廿九年板	廣東省立中山圖書館	全	選	南音-木魚書	83	按：2與3底本同，2全，但殘頁較多，3缺卷末。1與2、3主體內容同，但措辭有異，建議收錄1與2.
322	2-重訂正字拗碎靈芝（正字拗碎靈芝）四卷	省港五桂堂機器板	廣州圖書館	全	選	南音-木魚書	70	按：2與3底本同，2全，但殘頁較多，3缺卷末。1與2、3主體內容同，但措辭有異，建議收錄1與2.
323	3-重訂正字拗碎靈芝（新刻拗碎靈芝全本）四卷	五桂堂機器板	廣州圖書館	/	/	南音-木魚書	/	按：2與3底本同，2全，但殘頁較多，3缺卷末。1與2、3主體內容同，但措辭有異，建議收錄1與2.
324	1-英臺回鄉（英臺回鄉南音）	丹柱堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	9	2、3與4內容、版式完全同，底本尚可。1與其他版式不同，用字稍有出入。選1與2。另：1與268-1中英台回鄉內容同，已刪。俗：廣州以文堂機器板
325	2-英臺回鄉	香港五桂堂 機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	2、3與4內容、版式完全同，底本尚可。1與其他版式不同，用字稍有出入。選1與2。另：1與268-1中英台回鄉內容同，已刪。俗：廣州以文堂機器板
326	2-英臺回鄉	香港五桂堂 機器板	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	3	2、3與4內容、版式完全同，底本尚可。1與其他版式不同，用字稍有出入。選1與2。另：1與268-1中英台回鄉內容同，已刪。俗：廣州以文堂機器板
327	3-英臺回鄉	廣州五桂堂 機器板	廣東省立中山圖書館	全	/	龍舟歌	3	2、3與4內容、版式完全同，底本尚可。1與其他版式不同，用字稍有出入。選1與2。另：1與268-1中英台回鄉內容同，已刪。俗：廣州以文堂機器板
328	4-英臺回鄉	廣州醉經書局 機器板	廣東省立中山圖書館	全	/	龍舟歌	5	2、3與4內容、版式完全同，底本尚可。1與其他版式不同，用字稍有出入。選1與2。另：1與268-1中英台回鄉內容同，已刪。俗：廣州以文堂機器板
329	英台回鄉一卷山伯訪友一卷金秋拜月一卷雪梅掛白一卷東蘭返村一卷丁山射雁一卷	民國華興書局鉛印本	順德區圖書館	/	/	/	13	未檢查。多種合訂，如何處理？山伯訪友、丁山射雁已收錄。
330	英臺拜月	廣州以文堂機器板	俗文學叢刊414冊	/	/	龍舟歌	/	/
331	2新本英臺祭奠（英臺祭奠新南音）	丹桂堂刻本	德國巴伐利亞州立圖書館	全	選	南音	5	按1與124-1同，已刪。
332	2新本英臺祭奠（英臺祭奠新南音）	丹桂堂刻本	德國巴伐利亞州立圖書館	全	選	南音	5	俗：廣州以文堂板
333	英臺戲友辦酒	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
334	新刻林招得黃玉英全本（林昭得全）四卷	以文堂刻本	中山大學圖書館	殘	選	龍舟歌	36	分類據傅斯年圖書館。俗：450廣州以文堂板，建議用俗文學本補配。
335	後續臥龍太子走國（後續臥龍走國）四卷	東莞萃英樓	楊寶霖	全	/	南音-木魚書	86	頁面不夠清晰，題名待定。
336	大棚到府逢嬌一卷	永文堂機器板	順德區圖書館	/	/	大棚戲	3	未檢查
337	明皇遊月宮（新出龍舟歌明皇遊月宮）	以文堂板 龍舟松原本	日本京都大學人文科學研究所	全	選	龍舟歌	3	/
338	1-忠孝節義寶韜記(五子登科) 六卷	丹桂堂	廣東省立中山圖書館	/	/	南音	未見。	北師大有醉經堂、復旦有丹柱堂本。
339	2-忠孝節義寶韜記六卷	廣州醉經堂板	俗文學叢刊445冊（五子登科）	/	/	南音	/	關鍵詞用五子登科還是竇韜記待定。
340	忠孝節義寶韜記(五子登科)六卷	廣州醉經堂木刻本	鐵文軒	全	/	南音	100	未徵集
341	新編忠孝節義懷春乞食養家婆全集 餘瑞珊編輯	民國赤坎培記書局鉛印本	順德區圖書館	待核	選	南音木魚書	73	未檢查
342	新輯忠孝節義懷春割肝全集 餘瑞珊編輯	民國廣州華興書局鉛印本	順德區圖書館	待核	選	南音木魚書	60	未檢查
343	1-呼家後代二集八卷	省港五桂堂	廣東省立中山圖書館	全	待定	南音	128	3種內容同，1與2底本同，1、2、3版式均同。其中1全，但底本稍差。2底本較好，但缺後集目錄與卷一。3底本較好，但缺初集目錄與卷一、卷五。選1還是怎樣，請定。另復旦有富桂堂刻清末丹柱堂印本
344	2-新刻呼家後代南音（呼家後代）五卷	廣州五桂堂	中山大學中國非物質文化遺產研究中心（存二、三）	缺	待定	南音	110	3種內容同，1與2底本同，1、2、3版式均同。其中1全，但底本稍差。2底本較好，但缺後集目錄與卷一。3底本較好，但缺初集目錄與卷一、卷五。選1還是怎樣，請定。另復旦有富桂堂刻清末丹柱堂印本
345	2-新刻呼家後代南音（呼家後代）五卷	廣州五桂堂	中山大學中國非物質文化遺產研究中心（存二、三、四）	缺	待定	南音	110	3種內容同，1與2底本同，1、2、3版式均同。其中1全，但底本稍差。2底本較好，但缺後集目錄與卷一。3底本較好，但缺初集目錄與卷一、卷五。選1還是怎樣，請定。另復旦有富桂堂刻清末丹柱堂印本
346	3-新刻後續呼家後代全本南音（呼家後代）三卷（缺初集卷一、卷五）	芹香閣	中山大學中國非物質文化遺產研究中心	殘	待定	南音	98	3種內容同，1與2底本同，1、2、3版式均同。其中1全，但底本稍差。2底本較好，但缺後集目錄與卷一。3底本較好，但缺初集目錄與卷一、卷五。選1還是怎樣，請定。另復旦有富桂堂刻清末丹柱堂印本
347	1-金刀記十四集五十六卷（缺十續卷二P9-10）	東莞翠英樓	中山大學圖書館	缺	選	南音-木魚書	937	1與2版本同，但1較全，僅缺十續卷二P9-10，2只存十一至十四續。建議用1，找同底本補配。另復旦有翠英樓本7到14集，北師大有初集、3-7集。
348	2-金刀記十一續到十四續	萃英樓刻本	中山大學中國非物質文化遺產研究中心	/	/	南音-木魚書	246	1與2版本同，但1較全，僅缺十續卷二P9-10，2只存十一至十四續。建議用1，找同底本補配。另復旦有翠英樓本7到14集，北師大有初集、3-7集。
349	3-金刀記十四集五十六卷	莞城萃英樓?明秀堂	俗文學叢刊449-452冊	/	/	南音-木魚書	939	1與2版本同，但1較全，僅缺十續卷二P9-10，2只存十一至十四續。建議用1，找同底本補配。另復旦有翠英樓本7到14集，北師大有初集、3-7集。
350	金山婆自嘆	民國會文閣書局鉛印本	順德區圖書館	/	/	/	12	未檢查
351	金山婆自嘆	廣州醉經堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
352	金山婆拜張王 玄虛我生編輯 江東遺恨校訂	金山粵京現象活版社 民國十四年鉛印本	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚書	16	分類據封面。
353	金山歌集（書口：客中長恨歌）	民國排印本	德國巴伐利亞州立圖書館	全	/	/	4	海外華橋的思鄉唱酬歌集。不屬於收錄範圍？
354	新刻正字金生全本（正字南音金生挑盒全本）二卷	香港五桂堂五桂堂機器板	廣東省立中山圖書館	全	選	南音-木魚書	22	卷上P1左稍殘。北師大有醉經堂、復旦有醉經書局本。
355	金生挑盒（金生挑盒新南音）	廣州廣文堂	廣州圖書館	全	/	南音	116	該書為297-金生挑盒全本卷上之一部分（內容同、版式不同），是否收錄，請定。
356	金生挑盒（金生挑盒新南音）	廣州廣文堂	廣州圖書館	全	/	南音	116	上圖有以文堂本。
357	金生拜契	省港五桂堂 機器板	廣東省立中山圖書館	全	選	龍舟歌？	3	/
358	金生拜廟（金生拜廟南音）	廣州攀桂堂	廣東省立中山圖書館	全	選	龍舟歌？	4	國圖有廣州五桂堂本（新出龍舟歌）、上圖有富經堂本。
359	1-金生解菓	廣州五桂堂藏板	首都圖書館	全	任選其一	龍舟歌	4	兩底本同，底本均較好，可任選其一。
360	2-金生解菓	省港五桂堂藏板 機器板	廣東省立中山圖書館	全	任選其一	龍舟歌	4	兩底本同，底本均較好，可任選其一。
361	1-新選全本金戒指（金戒指）五卷 閒情居士稿	醉經堂據文賢堂、五書堂刻本改板印行	中山大學圖書館	全	選	南音	81	按：按：兩者底本同，2缺卷四，建議選1。
362	2-新選全本金戒指（金戒指）五卷（闕卷四） 閒情居士稿	廣州醉經堂木刻本	中山大學中國非物質文化遺產研究中心	殘	/	南音	65	按：按：兩者底本同，2缺卷四，建議選1。
363	金星戲竇兒（金星試竇兒）	廣州醉經書局 機器板	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	上圖有
364	金香囊全本四卷	莞城萃英樓木刻本	中山大學圖書館	全	/	/	73	未見數據
365	金盆玉樹二卷	廣州以文堂?丹柱堂	俗文學叢刊437冊	/	/	南音-木魚書	/	/
366	1-新選金盆玉樹苦怨金生全本（苦怨金生）兩集八卷（缺卷六）	廣州醉經堂刻本	中山大學中國非物質文化遺產研究中心	缺	選	南音-木魚書	98	用1.用2補。
367	2-（金盆玉樹）苦怨金生二集八卷	廣州醉經堂	俗文學叢刊434冊	/	/	南音-木魚書	/	2書名可改為：金盆玉樹苦怨金生
368	金剛鑚二卷	香港醒文印務局鉛印本	順德區圖書館	殘	選	南音-木魚書	38	未檢查
369	金剛鑚二卷	鉛印本	鐵文軒	/	/	南音-木魚書	8	未徵集
370	金釵記四卷	廣州五桂堂	俗文學叢刊442冊	/	/	南音	/	/
371	1-新刻正字金葉菊（金葉菊）四卷	廣州華興書局機器板	廣州圖書館	殘	/	南音-木魚書	/	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
372	2-新刻正字金葉菊四卷	廣州華興書局機器板	廣州圖書館	全	/	南音-木魚書	71	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
373	3-新刻正字金葉菊(四本金葉菊全)四卷	醉經書局機器板	廣州圖書館	全	/	南音-木魚書	70	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
374	4-新刻正字金葉菊（正字南音金葉菊全本）	香港五桂堂機器板	廣州圖書館	全	選	南音-木魚書	65	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
375	5-新刻正字金葉菊	以文堂機器板	廣州圖書館	缺	/	南音-木魚書	33	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
376	6-新刻再訂金葉菊全本(前集金葉菊全)四卷（存卷三）	南海西堠居士訂廣州醉經堂據舊板刻本改板重印	中山大學中國非物質文化遺產研究中心	全	/	南音-木魚書	/	按：1與2版本同，印刷版次不同，2較好，但1與2P1第三段與四端分割不是很清晰。3底本內容與1、2同，字跡清楚，但卷四後有蟲蛀。4底本與1與2同，內容完整、底本清晰，可以收錄。5底本內容版式（疑與1、2為同一底本）同1與2，但僅存卷一與卷三。6與上內容不同，封面題前集金葉菊。似為另一種書，可否單獨列一目錄。底本上建議收在2、3與4中選擇一種。另6單獨另列一目？請定。
377	1-金絲蝴蝶新選後續八卷	光緒丁酉以文堂	廣東省立中山圖書館	/	/	南音-木魚書	未見	2為初集，資料完整，底本個別頁面模糊。3為續集，底本尚可。北師大有五桂堂本初集、醉經堂全本。上圖有以文堂全本。
378	2-新刻正字金絲蚨蝶全本（正字金絲蚨蝶全本）五卷	醉經堂 機器板	廣州圖書館	全	/	南音-木魚書	64	2為初集，資料完整，底本個別頁面模糊。3為續集，底本尚可。北師大有五桂堂本初集、醉經堂全本。上圖有以文堂全本。
379	3-續金絲蚨蝶（接續金絲蚨蝶全本）五卷	廣州以文堂機器板	廣州圖書館	全	/	南音-木魚書	65	2為初集，資料完整，底本個別頁面模糊。3為續集，底本尚可。北師大有五桂堂本初集、醉經堂全本。上圖有以文堂全本。
380	金絲蝴蝶二卷	民國鉛印本	順德區圖書館	殘	/	待定	246？	未檢查
381	金絲蝴蝶	民國鉛印本	順德區圖書館	殘	/	待定	230？	未檢查
382	金樹開花解心二卷	廣州五桂堂木刻本	鐵文軒	全	/	/	6	未徵集
383	新本金蘭寄書（新出龍舟歌金蘭寄書）	廣州三元堂刻本	廣州圖書館	全	選	龍舟歌	6	內容全，底本欠佳。國圖有。
384	采英問米（老舉問米）二卷	五桂堂機器板	廣東省立中山圖書館	全	/	龍舟歌	7	/
385	1-周氏反嫁二卷	廣州五桂堂機器板	首都圖書館	全	選	龍舟歌	6	兩者內容同。1底本較好，建議選1。上圖有以文堂本
386	2-重訂周氏反嫁（周氏反嫁）二卷	廣州醉經書局機器板	廣東省立中山圖書館	全	/	龍舟歌	6	兩者內容同。1底本較好，建議選1。上圖有以文堂本
387	新編警世木魚周氏反嫁全集（周氏反嫁全集）三十四回	廣州華興書局排印本	廣東省立中山圖書館	全	選	南音-木魚	77	/
388	狐造奇緣全本（狐仙奇緣）四卷	五桂堂據富文堂刻本改板印行	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚	60	/
389	新刻正字夜送寒衣全套（夜送寒衣）二卷	省港五桂堂機器板	中山大學圖書館	全	選	待定	22	/
390	重訂夜送寒衣（改良夜送寒衣）二卷	廣州以文堂機器板	廣東省立中山圖書館	全	選	龍舟歌	7	/
391	新出龍舟歌夜諫金蘭	廣州以文堂刻本	廣東省立中山圖書館	待核	待定	龍舟歌	10	俗：418有收，待核是否全。
392	夜諫金蘭	機器板	鐵文軒	/	/	/	16	未徵集
393	1-盲佬打釘（盲公打釘）	省港五桂堂	廣東省立中山圖書館	全	選	龍舟歌	3	2卷末佛山正同文板.底本均較好。主體內容同，個別字詞選字有差異。
394	2-盲公打釘	廣州市正興大街成文堂板	首都圖書館	全	選	龍舟歌	4	2卷末佛山正同文板.底本均較好。主體內容同，個別字詞選字有差異。
395	河下溫舊情（河下南音打水圍）	廣州廣文堂	德國巴伐利亞州立圖書館	全	/	南音	3	分類據原書標註。
396	姑嫂離別	宣統二年廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	內容: 姑嫂離別--十憶 十思 情歌--十送情郎--耕仔十嘆。
397	新輯趣緻南音妲己戀王全集（妲己戀紂王） 餘瑞珊編輯	廣州華興書局排印本	廣東省立中山圖書館	殘	選	南音	43	正文P33、P42等有缺損。
398	妯娌炒鬧	廣州五桂堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
399	1-拾貳時辰全卷（新訂拾貳時辰）	廣州璧經堂	廣州圖書館	全	選	龍舟歌	6	內容與149之2、3、4內容不同，建議收錄。
400	新選全本荊釵記（十朋祭江）兩集八卷 守拙主人、閒情居士訂	五桂堂據丹柱堂刻本改板印行刻本	中山大學圖書館	全	選	南音	142	/
401	荊枝記二卷	福善設發刊	鐵文軒	缺	/	/	36	未徵集
402	胡生哭別	廣州五桂堂 機器板。	廣東省立中山圖書館	全	/	龍舟歌	3	此為新刻錦雲肩胡生哭別二卷（醉經書局本）之第二卷之一節；是否單獨收錄，請定。
403	胡生哭別二卷	廣州醉經書局木刻本	中山大學圖書館	/	/	/	26	與上同
404	胡生賣芥蘭	廣州醉經堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
405	胡奎賣人頭	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
406	1-新出荔枝記（正荔枝記）二卷	廣州以文堂據丹柱堂刻本改板印行刻本	中山大學中國非物質文化遺產研究中心	/	/	南音-木魚書	15	按：兩者內容同。其中1缺上卷P1與下卷封面，2全。底本較好，建議收2。傅斯年圖書館N13與1同，存卷上。上圖有廣州刻本
407	2-新出四季荔枝記（四季荔枝記）二卷	廣州以文堂據丹柱堂刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	17	按：兩者內容同。其中1缺上卷P1與下卷封面，2全。底本較好，建議收2。傅斯年圖書館N13與1同，存卷上。上圖有廣州刻本
408	新刻相思山歌	佛山保安堂民國乙未刊本	中山大學中國非物質文化遺產研究中心	/	/	/	7	山歌。疑非此類
409	1-新選柳陸煙容全本（柳陸煙容）五卷	省港五桂堂刻本	廣東省立中山圖書館	全	選	南音-木魚書	63	按：1全，2殘，內容同，建議收1。
410	2-新選柳陸煙容全本（柳陸煙容）五卷（存卷三至五）	五桂堂據萃英樓刻本改板印行刻本	中山大學中國非物質文化遺產研究中心	/	/	南音-木魚書	/	按：1全，2殘，內容同，建議收1。
411	1-背解紅羅二集十二卷	富桂堂藏 佛山芹香閣印	廣東省立中山圖書館	全	選	南音-木魚書	230	內容全，底本尚可，部分頁面不夠清晰，個別頁碼邊角殘，可用。
412	2-新選正字後續背解紅羅全本六卷	省港五桂堂 機器板	廣州圖書館	殘	/	南音-木魚書	92	該書為後續，與1大同小異。個別地方有出入。卷一封面目錄、卷六P13後缺。北師大、吉大有全本。另北師大有德文堂全本。
413	3-新選正字初集背解紅羅全本（新刻背解紅羅全本）六卷（缺卷二）	以文堂機器板	廣州圖書館	殘	/	南音-木魚書	待補	初集，缺卷二。4內容版式與2同，除個別頁殘外，底本字跡清晰。3與4為統一底本的初集與後續，可將二者合併為一條。北師大有初集。
414	4-新選正字後續背解紅羅全本六卷	以文堂機器板	廣州圖書館	殘	/	南音-木魚書	待補	初集，缺卷二。4內容版式與2同，除個別頁殘外，底本字跡清晰。3與4為統一底本的初集與後續，可將二者合併為一條。北師大有初集。
415	5-背解紅羅二集十二卷	華興書局機器板	廣州圖書館	全	選	南音-木魚書	230	5與3、4內容版式同，底本較好，/殘缺，建議採用。
416	6-新選背解紅羅全本（初集）六卷（缺卷三）	羊城維經堂藏 廣州璧經堂印	廣州圖書館	殘	/	南音-木魚書	待補	6與1初集內容版式同。目錄下署“維經堂
417	7-新選正字初集背解紅羅全本	機器板	廣州圖書館	殘	/	南音-木魚書	待補	7內容版式與3同，殘缺嚴重。
418	貞節婦大罵賭仔二卷	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	5	/
419	1-新刻全本昭君出塞雙鳳奇緣（昭君出塞）四卷	省港五桂堂據舊板刻本改板印行刻本	中山大學圖書館	全	任選其一	南音-木魚書	48	按：1與2底本同，底本均較好，可選其中之一。
420	2-新刻全本昭君出塞雙鳳奇緣（昭君出塞）四卷	五桂堂據舊板刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	任選其一	南音-木魚書	46	按：1與2底本同，底本均較好，可選其中之一。
421	特別改良看男女相歌附戒煙粵謳（鑒貌辨色）	五桂堂藏板	廣東省立中山圖書館	全	待定	粵謳？	5	分類待定。
422	1-重台分別	廣州五桂堂機器板	廣東省立中山圖書館	全	/	龍舟歌	4	倆書版本同，底本均較好，2似乎更佳。查“臺”字。
423	2-重台分別	廣州五桂堂機器板	首都圖書館	全	選	龍舟歌	4	倆書版本同，底本均較好，2似乎更佳。查“臺”字。
424	重威試妻	廣州以文堂機器板	俗文學叢刊414冊	/	/	龍舟歌	/	倆書版本同，底本均較好，2似乎更佳。查“臺”字。
425	鬼附自嘆（護絲女自嘆）	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	4	/
426	鬼馬元什才	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	3	/
427	1-錦綉食齋成道（重訂錦綉食齋）三卷	醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	9	倆底本同。1底本稍好。
428	1-錦綉食齋成道（重訂錦綉食齋）三卷	醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	9	與449內容稍異。
429	2-錦繡食齋全本（錦繡食齋）三卷	廣州醉經堂機器板	廣州圖書館	全	/	龍舟歌	9	/
430	1-錦綉食齋成道三卷	以文堂機器板	廣東省立中山圖書館	全	選	龍舟歌	12	與446合為一條。內容1與2同，2有殘。1底本淺，建議收1。
431	2-錦綉食齋成道三卷	佛山芹香閣重訂本機器版	中山大學中國非物質文化遺產研究中心	殘	/	龍舟歌	12	與446合為一條。內容1與2同，2有殘。1底本淺，建議收1。
432	風流佳話勸僱工守慎（風流佳語）	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	3	/
433	風流佳話勸僱工守慎	德文堂據富經堂本印行	鐵文軒	全	/	龍舟歌	3	未徵集
434	風情雅趣	廣州五桂堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
435	改良狡婦屙鞋（狡婦屙鞋）三卷	省港五桂堂 機器板	廣東省立中山圖書館	/	選	龍舟歌	12	上圖有以文、德文堂本
436	怨夫立妾	廣州五桂堂	俗文學叢刊418冊	/	/	龍舟歌	/	復旦有近文堂、上圖有以文堂本
437	新怨夫老（怨夫老）	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	3	/
438	新刻奕朋種花全本（亦朋種花）四卷	省港五桂堂刻本	中山大學圖書館	全	選	南音-木魚書	37	/
439	美女偷香二卷 邀月樓主人撰	廣州廣文堂	德國巴伐利亞州立圖書館	全	選	南音？	22	/
440	新選送表妹（送表妹）二卷（存上卷）	庚午年刊	中山大學中國非物質文化遺產研究中心	缺	選	龍舟歌？	9	/
441	送姐包心憶恨（新本送姐包心） 半閑主人評選	廣州廣文堂，刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌？	3	/
442	送寒衣湘子記二卷	廣州德文堂	廣東省立中山圖書館	全	選	南音-木魚書	24	/
443	結拜同心送嫁歌（金蘭結拜龍舟歌）	璧經堂機器板	廣州圖書館	全	選	龍舟歌	7	/
444	新送嫁歌（原本送嫁歌）	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	5	/
445	炸鳳山姨太祭奠	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	北大有
446	剃頭二借妻	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
447	剃頭佬嘆五更	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	上圖有三元堂本
448	1-龍舟灑金橋問卦（金橋問卦）二卷	廣州以文堂機器板	廣東省立中山圖書館	殘	/	龍舟歌	5	倆底本同，均為以文堂機器板，出版機構不同。一底本清晰度較好，但中間有破損，2底本較好，建議用2.
449	2-龍舟灑金橋問卦（金橋問卦）二卷	香港五桂堂據廣州以文堂機器板改板印行	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	5	倆底本同，均為以文堂機器板，出版機構不同。一底本清晰度較好，但中間有破損，2底本較好，建議用2.
450	洞房不遂	廣州以文堂	俗文學叢刊415冊	/	/	龍舟歌	/	/
451	洞房花燭新聯	廣文堂	德國巴伐利亞州立圖書館	全	待定	待定	3	疑非此類。
452	新選洛陽橋記全本（蔡中興洛陽橋全本）三卷	五桂堂刻本	日本松浦恒雄	全	選	南音	40	/
453	1新本洋煙自嘆	廣州醉經堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	兩內容版本同，1多封面1頁，且頁面乾淨，建議收1。
454	2新本洋煙自嘆	廣州醉經堂機器板	廣州圖書館	全	/	龍舟歌	2	兩內容版本同，1多封面1頁，且頁面乾淨，建議收1。
455	1-正板客途秋恨（客途秋恨）	省港五桂堂印廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	1嚴重透字；2頁面有殘損。3封面佚且有殘損。3與1、2內容有出入。2與3主體內容同，版式、用字有異。
456	2-客途秋恨	第七甫五桂堂機器板	廣州圖書館	殘	選	龍舟歌	3	1嚴重透字；2頁面有殘損。3封面佚且有殘損。3與1、2內容有出入。2與3主體內容同，版式、用字有異。
457	3-客途秋恨	廣州五桂堂機器板	廣州圖書館	殘	選	龍舟歌	3	1嚴重透字；2頁面有殘損。3封面佚且有殘損。3與1、2內容有出入。2與3主體內容同，版式、用字有異。
458	4-客途秋恨	佛山芹香閣版	順德區圖書館	全	選	龍舟歌	3	/
459	新選神針寶扇全本南音（神針寶扇）四卷	醉經書局刻本	中山大學圖書館	全	選	南音	73	/
460	新選神盒影容記全本（神合影容）四卷	五桂堂刻本	中山大學圖書館	全	選	南音？	92	/
461	1-新刻正字紅樓夢南音全套（紅樓夢全）四卷	省港五桂堂機器板	廣東省立中山圖書館	/	缺	南音-木魚書	47	按：1缺目錄，末頁殘，看能否補佩。2主體內容同1，版式不同，個別用字不同，僅存卷一。兩者均收？請定。
